case,H,sigma_now,ratio_inf_to_sigma,omega_old,omega_vt_sigma_anchor,p_fixed_cur,p_fixed_vt,delta_fixed,p_vol_cur,p_vol_vt,delta_vol,thr_vol
inflated_case,5,0.0004419129051965,7.071067811865473,1.9528701577924042e-07,3.905740315584219e-09,3e-05,1e-05,1.9999999999999998e-05,0.10613,0.02099,0.08514,0.0019762945923075884
inflated_case,10,0.0004419129051965,7.071067811865473,1.9528701577924042e-07,3.905740315584219e-09,0.00031,8e-05,0.00023,0.13098,0.01222,0.11876000000000002,0.002794902615685998
inflated_case,20,0.0004419129051965,7.071067811865473,1.9528701577924042e-07,3.905740315584219e-09,0.00073,0.0001,0.0006299999999999999,0.15993,0.00737,0.15256,0.003952589184615177
deflated_case,5,0.0181366172176003,0.1151433212500634,8.722080174651646e-08,6.578737681955118e-06,0.18744,0.1954,-0.007959999999999995,0.04517,0.04863,-0.003459999999999998,0.08110941796089473
deflated_case,10,0.0181366172176003,0.1151433212500634,8.722080174651646e-08,6.578737681955118e-06,0.33458,0.35644,-0.02185999999999999,0.03981,0.0478,-0.007990000000000004,0.11470603891648525
deflated_case,20,0.0181366172176003,0.1151433212500634,8.722080174651646e-08,6.578737681955118e-06,0.47377,0.51458,-0.04081000000000001,0.03221,0.04641,-0.014199999999999997,0.16221883592178946
median_case,5,0.0175146993242223,0.2240493860261767,3.079802621056891e-07,6.135293848358268e-06,0.16824,0.17545,-0.007209999999999994,0.0458,0.04919,-0.003389999999999997,0.0783281165888614
median_case,10,0.0175146993242223,0.2240493860261767,3.079802621056891e-07,6.135293848358268e-06,0.30428,0.32561,-0.021330000000000016,0.04176,0.04897,-0.007210000000000001,0.11077268479510878
median_case,20,0.0175146993242223,0.2240493860261767,3.079802621056891e-07,6.135293848358268e-06,0.43678,0.48019,-0.043410000000000004,0.03526,0.0485,-0.013240000000000002,0.1566562331777228
