horizon,type,bin_mid,bin_count,mean_predicted,mean_observed
5,raw,0.05,3674,0.05129951007076756,0.05688622754491018
5,calibrated,0.05,3674,0.049138792049818455,0.05688622754491018
10,raw,0.05,3669,0.05198988280185336,0.0675933496865631
10,calibrated,0.05,3668,0.05096856807184986,0.06761177753544166
10,calibrated,0.15000000000000002,1,0.10122916843313563,0.0
20,raw,0.05,3655,0.052726607387140904,0.08372093023255814
20,raw,0.15000000000000002,4,0.1010875,0.0
20,calibrated,0.05,3419,0.055120340390970586,0.08277274056741737
20,calibrated,0.15000000000000002,240,0.11951709459407642,0.09583333333333334
